"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2015-11-16 06:22:52 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2014,Denmark,Mali,"Refugees (incl. refugee-like situations)",0
2014,Denmark,Nigeria,"Refugees (incl. refugee-like situations)",14
2014,Denmark,Pakistan,"Refugees (incl. refugee-like situations)",51
2014,Denmark,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",7253
2014,Denmark,Turkey,"Refugees (incl. refugee-like situations)",8
2014,Denmark,Various/Unknown,"Refugees (incl. refugee-like situations)",389
2014,Spain,Afghanistan,"Refugees (incl. refugee-like situations)",144
2014,Spain,Armenia,"Refugees (incl. refugee-like situations)",22
2014,Spain,China,"Refugees (incl. refugee-like situations)",16
2014,Spain,Algeria,"Refugees (incl. refugee-like situations)",38
2014,Spain,Egypt,"Refugees (incl. refugee-like situations)",16
2014,Spain,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",70
2014,Spain,Iraq,"Refugees (incl. refugee-like situations)",190
2014,Spain,Libya,"Refugees (incl. refugee-like situations)",0
2014,Spain,"Sri Lanka","Refugees (incl. refugee-like situations)",91
2014,Spain,Morocco,"Refugees (incl. refugee-like situations)",40
2014,Spain,Mali,"Refugees (incl. refugee-like situations)",0
2014,Spain,Nigeria,"Refugees (incl. refugee-like situations)",15
2014,Spain,Pakistan,"Refugees (incl. refugee-like situations)",228
2014,Spain,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1336
2014,Spain,Turkey,"Refugees (incl. refugee-like situations)",6
2014,Spain,Various/Unknown,"Refugees (incl. refugee-like situations)",86
2014,Estonia,Afghanistan,"Refugees (incl. refugee-like situations)",15
2014,Estonia,Armenia,"Refugees (incl. refugee-like situations)",0
2014,Estonia,Algeria,"Refugees (incl. refugee-like situations)",0
2014,Estonia,Iraq,"Refugees (incl. refugee-like situations)",0
2014,Estonia,"Sri Lanka","Refugees (incl. refugee-like situations)",7
2014,Estonia,Pakistan,"Refugees (incl. refugee-like situations)",0
2014,Estonia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",6
2014,Estonia,Turkey,"Refugees (incl. refugee-like situations)",0
2014,Finland,Afghanistan,"Refugees (incl. refugee-like situations)",1443
2014,Finland,Armenia,"Refugees (incl. refugee-like situations)",0
2014,Finland,China,"Refugees (incl. refugee-like situations)",90
2014,Finland,Algeria,"Refugees (incl. refugee-like situations)",20
2014,Finland,Egypt,"Refugees (incl. refugee-like situations)",6
2014,Finland,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",581
2014,Finland,Iraq,"Refugees (incl. refugee-like situations)",3607
2014,Finland,Libya,"Refugees (incl. refugee-like situations)",9
2014,Finland,"Sri Lanka","Refugees (incl. refugee-like situations)",107
2014,Finland,Morocco,"Refugees (incl. refugee-like situations)",16
2014,Finland,Mali,"Refugees (incl. refugee-like situations)",0
2014,Finland,Nigeria,"Refugees (incl. refugee-like situations)",168
2014,Finland,Pakistan,"Refugees (incl. refugee-like situations)",39
2014,Finland,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",438
2014,Finland,Turkey,"Refugees (incl. refugee-like situations)",174
2014,Finland,Various/Unknown,"Refugees (incl. refugee-like situations)",129
2014,France,Afghanistan,"Refugees (incl. refugee-like situations)",3838
2014,France,Armenia,"Refugees (incl. refugee-like situations)",4063
2014,France,China,"Refugees (incl. refugee-like situations)",2476
2014,France,Algeria,"Refugees (incl. refugee-like situations)",1353
2014,France,Egypt,"Refugees (incl. refugee-like situations)",662
2014,France,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",2359
2014,France,Iraq,"Refugees (incl. refugee-like situations)",2991
2014,France,Libya,"Refugees (incl. refugee-like situations)",67
2014,France,"Sri Lanka","Refugees (incl. refugee-like situations)",23966
2014,France,Morocco,"Refugees (incl. refugee-like situations)",225
2014,France,Mali,"Refugees (incl. refugee-like situations)",3934
2014,France,Nigeria,"Refugees (incl. refugee-like situations)",1102
2014,France,Pakistan,"Refugees (incl. refugee-like situations)",836
2014,France,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",2882
2014,France,Turkey,"Refugees (incl. refugee-like situations)",10699
2014,France,Various/Unknown,"Refugees (incl. refugee-like situations)",60000
2014,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",9039
2014,"United Kingdom","United Arab Emirates","Refugees (incl. refugee-like situations)",10
2014,"United Kingdom",Armenia,"Refugees (incl. refugee-like situations)",34
2014,"United Kingdom",China,"Refugees (incl. refugee-like situations)",1844
2014,"United Kingdom",Algeria,"Refugees (incl. refugee-like situations)",379
2014,"United Kingdom",Egypt,"Refugees (incl. refugee-like situations)",349
2014,"United Kingdom","Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",11510
2014,"United Kingdom",Iraq,"Refugees (incl. refugee-like situations)",2951
2014,"United Kingdom",Libya,"Refugees (incl. refugee-like situations)",923
2014,"United Kingdom","Sri Lanka","Refugees (incl. refugee-like situations)",4688
2014,"United Kingdom",Morocco,"Refugees (incl. refugee-like situations)",119
2014,"United Kingdom",Mali,"Refugees (incl. refugee-like situations)",18
2014,"United Kingdom",Nigeria,"Refugees (incl. refugee-like situations)",1469
2014,"United Kingdom",Pakistan,"Refugees (incl. refugee-like situations)",5669
2014,"United Kingdom","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",4572
2014,"United Kingdom",Turkey,"Refugees (incl. refugee-like situations)",1396
2014,"United Kingdom",Various/Unknown,"Refugees (incl. refugee-like situations)",20015
2014,Greece,Afghanistan,"Refugees (incl. refugee-like situations)",1451
2014,Greece,Armenia,"Refugees (incl. refugee-like situations)",13
2014,Greece,China,"Refugees (incl. refugee-like situations)",32
2014,Greece,Algeria,"Refugees (incl. refugee-like situations)",31
2014,Greece,Egypt,"Refugees (incl. refugee-like situations)",92
2014,Greece,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",479
2014,Greece,Iraq,"Refugees (incl. refugee-like situations)",1242
2014,Greece,Libya,"Refugees (incl. refugee-like situations)",13
2014,Greece,"Sri Lanka","Refugees (incl. refugee-like situations)",36
2014,Greece,Morocco,"Refugees (incl. refugee-like situations)",35
2014,Greece,Mali,"Refugees (incl. refugee-like situations)",5
2014,Greece,Nigeria,"Refugees (incl. refugee-like situations)",185
2014,Greece,Pakistan,"Refugees (incl. refugee-like situations)",441
2014,Greece,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",3913
2014,Greece,Turkey,"Refugees (incl. refugee-like situations)",125
2014,Greece,Various/Unknown,"Refugees (incl. refugee-like situations)",136
2014,Croatia,Afghanistan,"Refugees (incl. refugee-like situations)",21
2014,Croatia,Armenia,"Refugees (incl. refugee-like situations)",0
2014,Croatia,Iraq,"Refugees (incl. refugee-like situations)",6
2014,Croatia,Libya,"Refugees (incl. refugee-like situations)",0
2014,Croatia,Nigeria,"Refugees (incl. refugee-like situations)",5
2014,Croatia,Pakistan,"Refugees (incl. refugee-like situations)",0
2014,Croatia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",22
2014,Croatia,Turkey,"Refugees (incl. refugee-like situations)",6
2014,Croatia,Various/Unknown,"Refugees (incl. refugee-like situations)",0
2014,Hungary,Afghanistan,"Refugees (incl. refugee-like situations)",819
2014,Hungary,Armenia,"Refugees (incl. refugee-like situations)",30
2014,Hungary,China,"Refugees (incl. refugee-like situations)",6
2014,Hungary,Algeria,"Refugees (incl. refugee-like situations)",10
2014,Hungary,Egypt,"Refugees (incl. refugee-like situations)",10
2014,Hungary,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",68
2014,Hungary,Iraq,"Refugees (incl. refugee-like situations)",220
2014,Hungary,Libya,"Refugees (incl. refugee-like situations)",0
2014,Hungary,"Sri Lanka","Refugees (incl. refugee-like situations)",11
2014,Hungary,Morocco,"Refugees (incl. refugee-like situations)",0
2014,Hungary,Mali,"Refugees (incl. refugee-like situations)",0
2014,Hungary,Nigeria,"Refugees (incl. refugee-like situations)",27
2014,Hungary,Pakistan,"Refugees (incl. refugee-like situations)",35
2014,Hungary,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",334
2014,Hungary,Turkey,"Refugees (incl. refugee-like situations)",27
2014,Hungary,Various/Unknown,"Refugees (incl. refugee-like situations)",165
2014,Ireland,Afghanistan,"Refugees (incl. refugee-like situations)",158
2014,Ireland,Armenia,"Refugees (incl. refugee-like situations)",10
2014,Ireland,China,"Refugees (incl. refugee-like situations)",45
2014,Ireland,Algeria,"Refugees (incl. refugee-like situations)",184
2014,Ireland,Egypt,"Refugees (incl. refugee-like situations)",41
2014,Ireland,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",118
2014,Ireland,Iraq,"Refugees (incl. refugee-like situations)",379
2014,Ireland,Libya,"Refugees (incl. refugee-like situations)",161
2014,Ireland,"Sri Lanka","Refugees (incl. refugee-like situations)",18
2014,Ireland,Morocco,"Refugees (incl. refugee-like situations)",10
